tax_id	GeneID	LocusTag	Ensembl	description	Symbol_from_nomenclature_authority	Full_name_from_nomenclature_authority	Nomenclature_status	Other_designations		Metabolic?
9606	TPTE	CT44|PTEN2	ENSG00000274391	transmembrane phosphatase with tensin homology	TPTE	transmembrane phosphatase with tensin homology	O	"PTEN-related tyrosine phosphatase|cancer/testis antigen 44|tensin, putative protein-tyrosine phosphatase|tumor antigen BJ-HCC-5"	20150705	Y
9606	LOC102724560	-	ENSG00000274276	cystathionine beta-synthase	-	-	-	-	20150704	Y
9606	NATD1	C17orf103|Gtlf3b	ENSG00000274180	N-acetyltransferase domain containing 1	NATD1	N-acetyltransferase domain containing 1	O	N-acetyltransferase domain-containing protein 1|gene trap locus F3b|protein GTLF3B|transcript expressed during hematopoiesis 2	20150705	Y
9606	TAF9	MGC:5067|STAF31/32|TAF2G|TAFII-31|TAFII-32|TAFII31|TAFII32|TAFIID32	ENSG00000273841	"TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 32kDa"	TAF9	"TAF9 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 32kDa"	O	RNA polymerase II TBP-associated factor subunit G|transcription initiation factor TFIID 31 kD subunit|transcription initiation factor TFIID 31 kDa subunit|transcription initiation factor TFIID 32 kDa subunit	20150705	Y
9606	USP27X	USP22L|USP27	ENSG00000273820	"ubiquitin specific peptidase 27, X-linked"	USP27X	"ubiquitin specific peptidase 27, X-linked"	O	"X-linked ubiquitin carboxyl-terminal hydrolase 27|deubiquitinating enzyme 27|ubiquitin specific protease 27, X chromosome|ubiquitin thioesterase 27|ubiquitin-specific-processing protease 27"	20150705	Y
9606	SERPINA3	AACT|ACT|GIG24|GIG25	ENSG00000273259	"serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3"	SERPINA3	"serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3"	O	"cell growth-inhibiting gene 24/25 protein|growth-inhibiting protein 24|growth-inhibiting protein 25|serine (or cysteine) proteinase inhibitor, clade A, member 3|serpin A3"	20150705	Y
9606	KMT2B	CXXC10|HRX2|MLL1B|MLL2|MLL4|TRX2|WBP-7|WBP7	ENSG00000272333	lysine (K)-specific methyltransferase 2B	KMT2B	lysine (K)-specific methyltransferase 2B	O	"WW domain binding protein 7|histone-lysine N-methyltransferase MLL4|mixed lineage leukemia gene homolog 2|myeloid/lymphoid or mixed-lineage leukemia (trithorax homolog, Drosophila) 4|myeloid/lymphoid or mixed-lineage leukemia protein 4|trithorax homologue 2"	20150705	Y
9606	ADAM6	C14orf96|tMDCIV	ENSG00000271968	ADAM metallopeptidase domain 6 (pseudogene)	ADAM6	ADAM metallopeptidase domain 6 (pseudogene)	O	"ADAM metallopeptidase domain 6, pseudogene|a disintegrin and metalloproteinase domain 6|metalloprotease-like, disintegrin-like protein pseudogene"	20150504	Y
9606	PPIAL4E	COAS2	ENSG00000271567	peptidylprolyl isomerase A (cyclophilin A)-like 4E	PPIAL4E	peptidylprolyl isomerase A (cyclophilin A)-like 4E	O	-	20150704	Y
9606	MMP28	EPILYSIN|MM28|MMP-25|MMP-28|MMP25	ENSG00000271447	matrix metallopeptidase 28	MMP28	matrix metallopeptidase 28	O	matrix metalloprotease MMP25	20150704	Y
9606	TAF15	Npl3|RBP56|TAF2N|TAFII68	ENSG00000270647	"TAF15 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 68kDa"	TAF15	"TAF15 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 68kDa"	O	"RBP56/CSMF fusion|TATA box binding protein (TBP)-associated factor, RNA polymerase II, N, 68kD (RNA-binding protein 56)|TATA box-binding protein-associated factor 2N (RNA-binding protein 56)|TBP-associated factor 15"	20150705	Y
9606	MAP2K4P1	-	ENSG00000269904	mitogen-activated protein kinase kinase 4 pseudogene 1	MAP2K4P1	mitogen-activated protein kinase kinase 4 pseudogene 1	O	-	20150504	Y
9606	KLK9	KLK-L3|KLKL3	ENSG00000269741	kallikrein-related peptidase 9	KLK9	kallikrein-related peptidase 9	O	kallikrein-like protein 3	20150705	Y
9606	IKBKG	AMCBX1|FIP-3|FIP3|Fip3p|IKK-gamma|IMD33|IP|IP1|IP2|IPD2|NEMO|ZC2HC9	ENSG00000269335	"inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma"	IKBKG	"inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma"	O	I-kappa-B kinase subunit gamma|IKKAP1|IKKG|IkB kinase gamma subunit|NF-kappa-B essential modifier|NFkappaB essential modulator|ikB kinase subunit gamma|ikB kinase-associated protein 1|incontinentia pigmenti|inhibitor of nuclear factor kappa-B kinase subunit gamma	20150705	Y
9606	NDUFA7	B14.5a	ENSG00000267855	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 7, 14.5kDa"	NDUFA7	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 7, 14.5kDa"	O	CI-B14.5a|NADH-ubiquinone oxidoreductase subunit B14.5a|complex I B14.5a subunit	20150705	Y
9606	NDUFA3P1	-	ENSG00000267590	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 3 pseudogene 1"	NDUFA3P1	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 3 pseudogene 1"	O	"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 3, 9kDa pseudogene"	20150504	Y
9606	PTGES3L	-	ENSG00000267060	prostaglandin E synthase 3 (cytosolic)-like	PTGES3L	prostaglandin E synthase 3 (cytosolic)-like	O	prostaglandin E synthase 3-like	20150704	Y
9606	AARSD1	-	ENSG00000266967	alanyl-tRNA synthetase domain containing 1	AARSD1	alanyl-tRNA synthetase domain containing 1	O	alanyl-tRNA synthetase domain-containing protein 1	20150705	Y
9606	PNLIPRP2	PLRP2	ENSG00000266200	pancreatic lipase-related protein 2	PNLIPRP2	pancreatic lipase-related protein 2	O	PL-RP2|galactolipase	20150705	Y
9606	STRADA	LYK5|NY-BR-96|PMSE|STRAD|Stlk	ENSG00000266173	STE20-related kinase adaptor alpha	STRADA	STE20-related kinase adaptor alpha	O	STE20-like pseudokinase|STRAD alpha|protein kinase LYK5|serologically defined breast cancer antigen NY-BR-96	20150705	Y
9606	SRGAP2	ARHGAP34|FNBP2|SRGAP2A|SRGAP3	ENSG00000266028	SLIT-ROBO Rho GTPase activating protein 2	SRGAP2	SLIT-ROBO Rho GTPase activating protein 2	O	SLIT-ROBO GAP2|formin-binding protein 2|rho GTPase-activating protein 34	20150705	Y
9606	GLUD1P7	GLUD1P2|GLUDP2|GLUDP7|bA342C24.3	ENSG00000265366	glutamate dehydrogenase 1 pseudogene 7	GLUD1P7	glutamate dehydrogenase 1 pseudogene 7	O	glutamate dehydrogenase 1 pseudogene 2|glutamate dehydrogenase pseudogene 2|glutamate dehydrogenase pseudogene 7	20150504	Y
9606	TIMM23	TIM23	ENSG00000265354	translocase of inner mitochondrial membrane 23 homolog (yeast)	TIMM23	translocase of inner mitochondrial membrane 23 homolog (yeast)	O	-	20150705	Y
9606	LOC101929240	-	ENSG00000265298	U5 small nuclear ribonucleoprotein 200 kDa helicase pseudogene	-	-	-	-	20150504	Y
9606	AKR1C8P	AKR1CL1	ENSG00000264006	"aldo-keto reductase family 1, member C8, pseudogene"	AKR1C8P	"aldo-keto reductase family 1, member C8, pseudogene"	O	"aldo-keto reductase family 1, member C-like 1|protein RAKc"	20150504	Y
9606	IKBKE	IKK-E|IKK-i|IKKE|IKKI	ENSG00000263528	"inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase epsilon"	IKBKE	"inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase epsilon"	O	I-kappa-B kinase epsilon|IKK-epsilon|IKK-related kinase epsilon|inducible I kappa-B kinase|inducible IkappaB kinase	20150705	Y
9606	PPIAL4A	COAS-2|COAS2|PPIAL4|PPIAL4B	ENSG00000263353	peptidylprolyl isomerase A (cyclophilin A)-like 4A	PPIAL4A	peptidylprolyl isomerase A (cyclophilin A)-like 4A	O	PPIase A-like 4B|PPIase A-like 4G|chromosome 1-amplified sequence 2|cyclophilin homolog overexpressed in liver cancer|cyclophilin-LC (COAS2)|peptidylprolyl cis-trans isomerase A-like 4A|peptidylprolyl cis-trans isomerase A-like 4B|peptidylprolyl isomerase A (cyclophilin A)-like 4B	20150705	Y
9606	ROCK1P1	-	ENSG00000263006	"Rho-associated, coiled-coil containing protein kinase 1 pseudogene 1"	ROCK1P1	"Rho-associated, coiled-coil containing protein kinase 1 pseudogene 1"	O	-	20150504	Y
9606	ALOX12P2	ALOX12E	ENSG00000262943	arachidonate 12-lipoxygenase pseudogene 2	ALOX12P2	arachidonate 12-lipoxygenase pseudogene 2	O	12-lipoxygenase-related protein|hair and skin epidermal-type 12-lipoxygenase-related pseudogene	20150504	Y
9606	LOC554206	-	ENSG00000262587	leucine carboxyl methyltransferase 1 pseudogene	-	-	-	-	20150705	Y
9606	MMP12	HME|ME|MME|MMP-12	ENSG00000262406	matrix metallopeptidase 12	MMP12	matrix metallopeptidase 12	O	matrix metallopeptidase 12 (macrophage elastase)|matrix metalloproteinase 12 (macrophage elastase)	20150705	Y
9606	PRSS46	TESSP6	ENSG00000261603	"protease, serine, 46"	PRSS46	"protease, serine, 46"	O	testis serine protease 6	20150704	Y
9606	CDK3	-	ENSG00000261408	cyclin-dependent kinase 3	CDK3	cyclin-dependent kinase 3	O	cell division protein kinase 3	20150705	Y
9606	SULT1A3	HAST|HAST3|M-PST|ST1A3|ST1A3/ST1A4|ST1A5|STM|TL-PST	ENSG00000261052	"sulfotransferase family, cytosolic, 1A, phenol-preferring, member 3"	SULT1A3	"sulfotransferase family, cytosolic, 1A, phenol-preferring, member 3"	O	"aryl sulfotransferase 1A3/1A4|catecholamine-sulfating phenol sulfotransferase|dopamine-specific sulfotransferase|monoamine-sulfating phenosulfotransferase|phenol sulfotransferase 1A5|placental estrogen sulfotransferase|sulfokinase|thermolabile (monoamine, M form) phenol sulfotransferase"	20150705	Y
9606	LMF1	C16orf26|HMFN1876|JFP11|TMEM112|TMEM112A	ENSG00000260807	lipase maturation factor 1	LMF1	lipase maturation factor 1	O	transmembrane protein 112	20150705	Y
9606	TPSP2	-	ENSG00000260284	tryptase pseudogene 2	TPSP2	tryptase pseudogene 2	O	mastin|tryptase beta pseudogene	20150504	Y
9606	LOC729739	-	ENSG00000260266	peptidylprolyl isomerase A (cyclophilin A) pseudogene	-	-	-	-	20150504	Y
9606	AOC4P	AOC4	ENSG00000260105	"amine oxidase, copper containing 4, pseudogene"	AOC4P	"amine oxidase, copper containing 4, pseudogene"	O	"amine oxidase pseudogene|amine oxidase, copper containing 3 (vascular adhesion protein 1) pseudogene"	20150504	Y
9606	UBE2Q2L	-	ENSG00000259511	ubiquitin-conjugating enzyme E2Q family member 2-like	UBE2Q2L	ubiquitin-conjugating enzyme E2Q family member 2-like	O	-	20150704	Y
9606	THTPA	THTP|THTPASE	ENSG00000259431	thiamine triphosphatase	THTPA	thiamine triphosphatase	O	-	20150705	Y
9606	PAK6	PAK5	ENSG00000259288	p21 protein (Cdc42/Rac)-activated kinase 6	PAK6	p21 protein (Cdc42/Rac)-activated kinase 6	O	p21(CDKN1A)-activated kinase 6	20150705	Y
9606	ADAM20P1	C14orf55	ENSG00000259158	ADAM metallopeptidase domain 20 pseudogene 1	ADAM20P1	ADAM metallopeptidase domain 20 pseudogene 1	O	CTD-2540L5.4|metalloproteinase-disintegrin 1-2 pseudogene	20150521	Y
9606	CHEK2P2	-	ENSG00000259156	checkpoint kinase 2 pseudogene 2	CHEK2P2	checkpoint kinase 2 pseudogene 2	O	CHK2 checkpoint homolog pseudogene	20150504	Y
9606	RNASE11	C14orf6|HEL-S-84p|RAJ1	ENSG00000259060	"ribonuclease, RNase A family, 11 (non-active)"	RNASE11	"ribonuclease, RNase A family, 11 (non-active)"	O	RNase 11|epididymis secretory sperm binding protein Li 84p|ribonuclease 11|ribonuclease A J1	20150705	Y
9606	RNASE4	RAB1|RNS4	ENSG00000258818	"ribonuclease, RNase A family, 4"	RNASE4	"ribonuclease, RNase A family, 4"	O	RNase 4|ribonuclease A B1	20150705	Y
9606	RNASE12	HEL-S-85p|RAI1	ENSG00000258436	"ribonuclease, RNase A family, 12 (non-active)"	RNASE12	"ribonuclease, RNase A family, 12 (non-active)"	O	epididymis secretory sperm binding protein Li 85p|ribonuclease A I1|ribonuclease-like protein 12	20150704	Y
9606	PDF	-	ENSG00000258429	peptide deformylase (mitochondrial)	PDF	peptide deformylase (mitochondrial)	O	peptide deformylase-like protein|polypeptide deformylase	20150704	Y
9606	RTEL1	C20orf41|DKCA4|DKCB5|NHL|PFBMFT3|RTEL	ENSG00000258366	regulator of telomere elongation helicase 1	RTEL1	regulator of telomere elongation helicase 1	O	regulator of telomere length	20150705	Y
9606	PRSS58	PRSS1|TRY1|TRYX3|UNQ2540	ENSG00000258223	"protease, serine, 58"	PRSS58	"protease, serine, 58"	O	trypsin-X3	20150704	Y
9606	MGAM2	-	ENSG00000257743	maltase-glucoamylase 2 (putative)	MGAM2	maltase-glucoamylase 2 (putative)	O	Putative maltase-glucoamylase-like protein FLJ16351|maltase-glucoamylase (alpha-glucosidase)	20150704	Y
9606	GALNT4	GALNAC-T4|GALNACT4	ENSG00000257594	polypeptide N-acetylgalactosaminyltransferase 4	GALNT4	polypeptide N-acetylgalactosaminyltransferase 4	O	UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 4|UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 4 (GalNAc-T4)|polypeptide GalNAc transferase 4|pp-GaNTase 4|protein-UDP acetylgalactosaminyltransferase 4	20150705	Y
9606	LOC643711	-	ENSG00000257501	"platelet-activating factor acetylhydrolase 1b, catalytic subunit 2 (30kDa) pseudogene"	-	-	-	-	20150504	Y
9606	FNTB	FPTB	ENSG00000257365	"farnesyltransferase, CAAX box, beta"	FNTB	"farnesyltransferase, CAAX box, beta"	O	CAAX farnesyltransferase subunit beta|FTase-beta|ras proteins prenyltransferase subunit beta	20150705	Y
9606	MGAM	MG|MGA	ENSG00000257335	maltase-glucoamylase	MGAM	maltase-glucoamylase	O	brush border hydrolase|maltase-glucoamylase (alpha-glucosidase)	20150705	Y
9606	GATC	15E1.2	ENSG00000257218	"glutamyl-tRNA(Gln) amidotransferase, subunit C"	GATC	"glutamyl-tRNA(Gln) amidotransferase, subunit C"	O	"glu-AdT subunit C|glutamyl-tRNA(Gln) amidotransferase, subunit C homolog"	20150705	Y
9606	PGAM1P5	-	ENSG00000257150	phosphoglycerate mutase 1 pseudogene 5	PGAM1P5	phosphoglycerate mutase 1 pseudogene 5	O	-	20150504	Y
9606	HMBS	PBG-D|PBGD|PORC|UPS	ENSG00000256269	hydroxymethylbilane synthase	HMBS	hydroxymethylbilane synthase	O	"porphyria, acute; Chester type|pre-uroporphyrinogen synthase|uroporphyrinogen I synthase|uroporphyrinogen I synthetase"	20150705	Y
9606	CARD18	ICEBERG|UNQ5804|pseudo-ICE	ENSG00000255501	"caspase recruitment domain family, member 18"	CARD18	"caspase recruitment domain family, member 18"	O	ICEBERG caspase-1 inhibitor|caspase-1 inhibitor Iceberg	20150704	Y
9606	NOX5	-	ENSG00000255346	"NADPH oxidase, EF-hand calcium binding domain 5"	NOX5	"NADPH oxidase, EF-hand calcium binding domain 5"	O	-	20150705	Y
9606	CARD17	INCA	ENSG00000255221	"caspase recruitment domain family, member 17"	CARD17	"caspase recruitment domain family, member 17"	O	Inhibitory CARD|caspase-1 inhibitor INCA|inhibitory caspase recruitment domain (CARD) protein|inhibitory caspase recruitment domain protein	20150704	Y
9606	DPP3	DPPIII	ENSG00000254986	dipeptidyl-peptidase 3	DPP3	dipeptidyl-peptidase 3	O	DPP III|dipeptidyl aminopeptidase III|dipeptidyl arylamidase III|dipeptidyl peptidase III|enkephalinase B	20150705	Y
9606	LOC392196	-	ENSG00000254923	ubiquitin specific peptidase 17-like family member 2 pseudogene	-	-	-	deubiquitinating enzyme 3 pseudogene|ubiquitin carboxyl-terminal hydrolase 17-like pseudogene|ubiquitin specific peptidase 17-like 2 pseudogene	20150504	Y
9606	GVINP1	GVIN1|GVIN1P|VLIG-1|VLIG1	ENSG00000254838	"GTPase, very large interferon inducible pseudogene 1"	GVINP1	"GTPase, very large interferon inducible pseudogene 1"	O	"GTPase, very large interferon inducible 1, pseudogene|very large inducible GTPase 1"	20150705	Y
9606	FPGT	GFPP	ENSG00000254685	fucose-1-phosphate guanylyltransferase	FPGT	fucose-1-phosphate guanylyltransferase	O	GDP-L-fucose diphosphorylase|GDP-beta-L-fucose pyrophosphorylase|fucose-1-phosphate guanyltransferase	20150705	Y
9606	CSNK2A3	CSNK2A1P	ENSG00000254598	"casein kinase 2, alpha 3 polypeptide"	CSNK2A3	"casein kinase 2, alpha 3 polypeptide"	O	"casein kinase 2, alpha 1 polypeptide pseudogene"	20150705	Y
9606	PINX1	LPTL|LPTS	ENSG00000254093	"PIN2/TERF1 interacting, telomerase inhibitor 1"	PINX1	"PIN2/TERF1 interacting, telomerase inhibitor 1"	O	67-11-3 protein|PIN2 interacting protein 1|PIN2-interacting protein 1|TRF1-interacting protein 1|hepatocellular carcinoma-related putative tumor suppressor|liver-related putative tumor suppressor|pin2-interacting protein X1|protein 67-11-3	20150705	Y
9606	MAP2K1P1	-	ENSG00000254013	mitogen-activated protein kinase kinase 1 pseudogene 1	MAP2K1P1	mitogen-activated protein kinase kinase 1 pseudogene 1	O	-	20150512	Y
9606	PRKDC	DNA-PKcs|DNAPK|DNPK1|HYRC|HYRC1|IMD26|XRCC7|p350	ENSG00000253729	"protein kinase, DNA-activated, catalytic polypeptide"	PRKDC	"protein kinase, DNA-activated, catalytic polypeptide"	O	"DNA-PK catalytic subunit|hyper-radiosensitivity of murine scid mutation, complementing 1|p460"	20150705	Y
9606	ALG11	CDG1P|GT8	ENSG00000253710	"ALG11, alpha-1,2-mannosyltransferase"	ALG11	"ALG11, alpha-1,2-mannosyltransferase"	O	"GDP-Man:Man(3)GlcNAc(2)-PP-dolichol alpha-1,2-mannosyltransferase|asparagine-linked glycosylation 11, alpha-1,2-mannosyltransferase homolog|asparagine-linked glycosylation protein 11 homolog|glycolipid 2-alpha-mannosyltransferase"	20150704	Y
9606	SDR16C6P	SDR16C6	ENSG00000253542	"short chain dehydrogenase/reductase family 16C, member 6, pseudogene"	SDR16C6P	"short chain dehydrogenase/reductase family 16C, member 6, pseudogene"	O	-	20150504	Y
9606	SERPINE3	-	ENSG00000253309	"serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 3"	SERPINE3	"serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 3"	O	nexin-related serine protease inhibitor	20150704	Y
9606	GUSBP3	-	ENSG00000253203	"glucuronidase, beta pseudogene 3"	GUSBP3	"glucuronidase, beta pseudogene 3"	O	-	20150705	Y
9606	USP17L9P	RS447|USP17|USP17A|USP17H|USP17I|USP17J|USP17K|USP17L|USP17M	ENSG00000251694	"ubiquitin specific peptidase 17-like family member 9, pseudogene"	USP17L9P	"ubiquitin specific peptidase 17-like family member 9, pseudogene"	O	deubiquitinating enzyme 17|ubiquitin carboxyl-terminal hydrolase 17|ubiquitin specific peptidase 17|ubiquitin specific protease 17|ubiquitin thioesterase 17|ubiquitin thiolesterase 17|ubiquitin-specific-processing protease 17	20150705	Y
9606	ALG1L2	-	ENSG00000251287	"ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase-like 2"	ALG1L2	"ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase-like 2"	O	asparagine-linked glycosylation 1-like 2	20150704	Y
9606	METTL21EP	METTL21CP1	ENSG00000250878	"methyltransferase like 21E, pseudogene"	METTL21EP	"methyltransferase like 21E, pseudogene"	O	methyltransferase like 21C pseudogene 1	20150504	Y
9606	USP17L18	-	ENSG00000250844	ubiquitin specific peptidase 17-like family member 18	USP17L18	ubiquitin specific peptidase 17-like family member 18	O	-	20150704	Y
9606	PRODH2	HSPOX1|HYPDH	ENSG00000250799	proline dehydrogenase (oxidase) 2	PRODH2	proline dehydrogenase (oxidase) 2	O	kidney and liver proline oxidase 1|probable proline oxidase 2	20150704	Y
9606	USP17L20	-	ENSG00000250745	ubiquitin specific peptidase 17-like family member 20	USP17L20	ubiquitin specific peptidase 17-like family member 20	O	-	20150704	Y
9606	ATP6V1E2	ATP6E1|ATP6EL2|ATP6V1EL2|VMA4	ENSG00000250565	"ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E2"	ATP6V1E2	"ATPase, H+ transporting, lysosomal 31kDa, V1 subunit E2"	O	V-ATPase subunit E 2|vacuolar proton pump subunit E 2|vacuolar-type proton-translocating ATPase subunit E1	20150705	Y
9606	CDK3	-	ENSG00000250506	cyclin-dependent kinase 3	CDK3	cyclin-dependent kinase 3	O	cell division protein kinase 3	20150705	Y
9606	GBA3	CBG|CBGL1|GLUC|KLRP	ENSG00000249948	"glucosidase, beta, acid 3 (gene/pseudogene)"	GBA3	"glucosidase, beta, acid 3 (gene/pseudogene)"	O	"cytosolic beta-glucosidase-like protein 1|glucosidase, beta, acid 3 (cytosolic)|klotho-related protein"	20150705	Y
9606	HS3ST5	3-OST-5|3OST5|HS3OST5|NBLA04021	ENSG00000249853	heparan sulfate (glucosamine) 3-O-sulfotransferase 5	HS3ST5	heparan sulfate (glucosamine) 3-O-sulfotransferase 5	O	h3-OST-5|heparan sulfate 3-O-sulfotransferase 5|heparan sulfate 3-OST-5|heparan sulfate D-glucosaminyl 3-O-sulfotransferase 5	20150704	Y
